Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
1887,Sri Lanka,Australia,Sri Lanka,7 wickets,Colombo (RPS),27-Sep-02
1888,Sri Lanka,India,no result,,Colombo (RPS),29-Sep-02
1889,Sri Lanka,India,no result,,Colombo (RPS),30-Sep-02
1890,South Africa,Bangladesh,South Africa,168 runs,Potchefstroom,3-Oct-02
1891,South Africa,Bangladesh,South Africa,10 wickets,Benoni,6-Oct-02
1892,South Africa,Bangladesh,South Africa,7 wickets,Kimberley,9-Oct-02
1893,India,West Indies,West Indies,4 wickets,Jamshedpur,6-Nov-02
1894,India,West Indies,West Indies,7 wickets,Nagpur,9-Nov-02
1895,India,West Indies,India,81 runs,Rajkot,12-Nov-02
1896,India,West Indies,India,5 wickets,Ahmedabad,15-Nov-02
1897,India,West Indies,West Indies,5 wickets,Vadodara,18-Nov-02
1898,India,West Indies,India,3 wickets,Jodhpur,21-Nov-02
1899,Zimbabwe,Pakistan,Pakistan,7 runs,Bulawayo,23-Nov-02
1900,India,West Indies,West Indies,135 runs,Vijayawada,24-Nov-02
1901,Zimbabwe,Pakistan,Pakistan,104 runs,Bulawayo,24-Nov-02
1902,Zimbabwe,Pakistan,Pakistan,48 runs,Harare,27-Nov-02
1903,South Africa,Sri Lanka,South Africa,6 wickets,Johannesburg,27-Nov-02
1904,Bangladesh,West Indies,no result,,Chittagong,29-Nov-02
1905,South Africa,Sri Lanka,South Africa,177 runs,Centurion,29-Nov-02
1906,Zimbabwe,Pakistan,Pakistan,8 wickets,Harare,30-Nov-02
1907,Zimbabwe,Pakistan,Pakistan,70 runs,Harare,1-Dec-02
1908,South Africa,Sri Lanka,Sri Lanka,7 wickets,Benoni,1-Dec-02
1909,Bangladesh,West Indies,West Indies,84 runs,Dhaka,2-Dec-02
1910,Bangladesh,West Indies,West Indies,86 runs,Dhaka,3-Dec-02
1911,South Africa,Sri Lanka,South Africa,8 wickets,Kimberley,4-Dec-02
1912,South Africa,Sri Lanka,South Africa,6 wickets,Bloemfontein,6-Dec-02
1913,Zimbabwe,Kenya,no result,,Harare,8-Dec-02
1914,South Africa,Pakistan,South Africa,132 runs,Durban,8-Dec-02
1915,Zimbabwe,Kenya,Zimbabwe,47 runs,Kwekwe,11-Dec-02
1916,South Africa,Pakistan,Pakistan,182 runs,Port Elizabeth,11-Dec-02
1917,Australia,England,Australia,7 wickets,Sydney,13-Dec-02
1918,South Africa,Pakistan,South Africa,62 runs,East London,13-Dec-02
1919,Australia,England,Australia,89 runs,Melbourne,15-Dec-02
1920,Zimbabwe,Kenya,Zimbabwe,9 wickets,Bulawayo,15-Dec-02
1921,South Africa,Pakistan,South Africa,9 wickets,Paarl,16-Dec-02
1922,England,Sri Lanka,England,43 runs,Brisbane,17-Dec-02
1923,South Africa,Pakistan,South Africa,34 runs,Cape Town,18-Dec-02
1924,England,Sri Lanka,England,95 runs,Perth,20-Dec-02
1925,Australia,Sri Lanka,Australia,142 runs,Perth,22-Dec-02
1926,New Zealand,India,New Zealand,3 wickets,Auckland,26-Dec-02
1927,New Zealand,India,New Zealand,35 runs,Napier,29-Dec-02
1928,New Zealand,India,New Zealand,5 wickets,Christchurch,1-Jan-03
1929,New Zealand,India,New Zealand,7 wickets,Queenstown,4-Jan-03
1930,New Zealand,India,India,2 wickets,Wellington,8-Jan-03
1931,Australia,Sri Lanka,Sri Lanka,79 runs,Sydney,9-Jan-03
1932,Australia,England,Australia,7 runs,Hobart,11-Jan-03
1933,New Zealand,India,India,1 wicket,Auckland,11-Jan-03
1934,England,Sri Lanka,Sri Lanka,31 runs,Sydney,13-Jan-03
1935,New Zealand,India,New Zealand,6 wickets,Hamilton,14-Jan-03
1936,Australia,Sri Lanka,Australia,4 wickets,Brisbane,
1937,England,Sri Lanka,England,19 runs,Adelaide,17-Jan-03
1938,Australia,England,,4 wickets,Adelaide,19-Jan-03
1939,Australia,Sri Lanka,Australia,9 wickets,Melbourne,21-Jan-03
1940,Australia,England,Australia,10 wickets,Sydney,23-Jan-03
1941,Australia,England,Australia,5 runs,Melbourne,25-Jan-03
1942,South Africa,West Indies,West Indies,3 runs,Cape Town,9-Feb-03
1943,Zimbabwe,Namibia,Zimbabwe,86 runs,Harare,10-Feb-03
1944,New Zealand,Sri Lanka,Sri Lanka,47 runs,Bloemfontein,10-Feb-03
1945,Australia,Pakistan,Australia,82 runs,Johannesburg,11-Feb-03
1946,Bangladesh,Canada,,60 runs,Durban,11-Feb-03
1947,South Africa,Kenya,South Africa,10 wickets,Potchefstroom,12-Feb-03
1948,India,Netherlands,India,68 runs,Paarl,12-Feb-03
1949,New Zealand,West Indies,New Zealand,20 runs,Port Elizabeth,13-Feb-03
1950,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Pietermaritzburg,14-Feb-03
1951,Australia,India,Australia,9 wickets,Centurion,15-Feb-03
1952,Canada,Kenya,Kenya,4 wickets,Cape Town,15-Feb-03
1953,England,Netherlands,England,6 wickets,East London,16-Feb-03
1954,Namibia,Pakistan,Pakistan,171 runs,Kimberley,16-Feb-03
1955,South Africa,New Zealand,New Zealand,9 wickets,Johannesburg,16-Feb-03
1956,Bangladesh,West Indies,no result,,Benoni,18-Feb-03
1957,Zimbabwe,India,India,83 runs,Harare,19-Feb-03
1958,Canada,Sri Lanka,Sri Lanka,9 wickets,Paarl,19-Feb-03
1959,England,Namibia,England,55 runs,Port Elizabeth,
1960,Australia,Netherlands,Australia,75 runs,Potchefstroom,20-Feb-03
1961,South Africa,Bangladesh,,10 wickets,Bloemfontein,22-Feb-03
1962,England,Pakistan,England,112 runs,Cape Town,22-Feb-03
1963,Canada,West Indies,West Indies,7 wickets,Centurion,23-Feb-03
1964,India,Namibia,India,181 runs,Pietermaritzburg,23-Feb-03
1965,Kenya,Sri Lanka,Kenya,53 runs,Nairobi (Gym),24-Feb-03
1966,Zimbabwe,Australia,Australia,7 wickets,Bulawayo,24-Feb-03
1967,Netherlands,Pakistan,Pakistan,97 runs,Paarl,25-Feb-03
1968,Bangladesh,New Zealand,New Zealand,7 wickets,Kimberley,26-Feb-03
1969,England,India,India,82 runs,Durban,26-Feb-03
1970,Australia,Namibia,Australia,256 runs,Potchefstroom,
1971,South Africa,Canada,South Africa,118 runs,East London,27-Feb-03
1972,Zimbabwe,Netherlands,Zimbabwe,99 runs,Bulawayo,28-Feb-03
1973,Sri Lanka,West Indies,Sri Lanka,6 runs,Cape Town,28-Feb-03
1974,Bangladesh,Kenya,Kenya,32 runs,Johannesburg,1-Mar-03
1975,India,Pakistan,India,6 wickets,Centurion,1-Mar-03
1976,Australia,England,Australia,2 wickets,Port Elizabeth,2-Mar-03
1977,Canada,New Zealand,,5 wickets,Benoni,3-Mar-03
1978,Namibia,Netherlands,Netherlands,64 runs,Bloemfontein,3-Mar-03
1979,South Africa,Sri Lanka,tied,,Durban,3-Mar-03
1980,Zimbabwe,Pakistan,no result,,Bulawayo,4-Mar-03
1981,Kenya,West Indies,West Indies,142 runs,Kimberley,
1982,Australia,Sri Lanka,Australia,96 runs,Centurion,7-Mar-03
1983,India,Kenya,India,6 wickets,Cape Town,7-Mar-03
1984,New Zealand,Zimbabwe,New Zealand,6 wickets,Bloemfontein,8-Mar-03
1985,India,Sri Lanka,India,183 runs,Johannesburg,10-Mar-03
1986,Australia,New Zealand,Australia,96 runs,Port Elizabeth,11-Mar-03
1987,Kenya,Zimbabwe,Kenya,7 wickets,Bloemfontein,12-Mar-03
1988,India,New Zealand,India,7 wickets,Centurion,14-Mar-03
1989,Sri Lanka,Zimbabwe,Sri Lanka,74 runs,East London,15-Mar-03
1990,Australia,Kenya,,5 wickets,Durban,15-Mar-03
1991,Australia,Sri Lanka,Australia,48 runs,Port Elizabeth,18-Mar-03
1992,India,Kenya,India,91 runs,Durban,20-Mar-03
1993,Australia,India,Australia,125 runs,Johannesburg,23-Mar-03
1994,Pakistan,Zimbabwe,Pakistan,68 runs,Sharjah,3-Apr-03
1995,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,4-Apr-03
1996,Kenya,Zimbabwe,Zimbabwe,5 wickets,Sharjah,5-Apr-03
1997,Kenya,Sri Lanka,Sri Lanka,129 runs,Sharjah,6-Apr-03
1998,Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Sharjah,
1999,Kenya,Pakistan,Pakistan,143 runs,Sharjah,8-Apr-03
2000,Pakistan,Zimbabwe,,8 wickets,Sharjah,10-Apr-03
2001,Bangladesh,India,India,200 runs,Dhaka,11-Apr-03
2002,India,South Africa,India,153 runs,Dhaka,13-Apr-03
2003,Bangladesh,South Africa,South Africa,83 runs,Dhaka,14-Apr-03
2004,Bangladesh,India,India,4 wickets,Dhaka,16-Apr-03
2005,Bangladesh,South Africa,South Africa,93 runs,Dhaka,17-Apr-03
2006,India,South Africa,South Africa,5 wickets,Dhaka,18-Apr-03
2007,India,South Africa,no result,,Dhaka,21-Apr-03
2008,Sri Lanka,Pakistan,Pakistan,79 runs,Dambulla,10-May-03
2009,New Zealand,Pakistan,New Zealand,7 wickets,Dambulla,11-May-03
2010,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Dambulla,13-May-03
2011,West Indies,Australia,Australia,2 runs,Kingston,17-May-03
2012,Sri Lanka,Pakistan,Sri Lanka,12 runs,Dambulla,
2013,West Indies,Australia,Australia,8 wickets,Kingston,18-May-03
2014,Sri Lanka,New Zealand,New Zealand,9 runs,Dambulla,19-May-03
2015,New Zealand,Pakistan,,22 runs,Dambulla,20-May-03
2016,West Indies,Australia,Australia,25 runs,Gros Islet,21-May-03
2017,New Zealand,Pakistan,New Zealand,4 wickets,Dambulla,23-May-03
2018,West Indies,Australia,Australia,67 runs,Port of Spain,24-May-03
2019,West Indies,Australia,,39 runs,Port of Spain,25-May-03
2020,West Indies,Australia,West Indies,3 wickets,St George's,30-May-03
2021,West Indies,Australia,West Indies,,St George's,1-Jun-03
2022,West Indies,Sri Lanka,Sri Lanka,55 runs,Bridgetown,7-Jun-03
2023,West Indies,Sri Lanka,Sri Lanka,4 wickets,Bridgetown,
2024,West Indies,Sri Lanka,West Indies,6 wickets,Kingstown,11-Jun-03
2025,England,Pakistan,Pakistan,2 wickets,Manchester,17-Jun-03
2026,England,Pakistan,England,7 wickets,The Oval,
2027,England,Pakistan,England,4 wickets,Lord's,22-Jun-03
2028,England,Zimbabwe,Zimbabwe,4 wickets,Nottingham,26-Jun-03
2029,England,South Africa,England,6 wickets,The Oval,28-Jun-03
2030,South Africa,Zimbabwe,South Africa,46 runs,Canterbury,29-Jun-03
2031,England,Zimbabwe,no result,,Leeds,1-Jul-03
2032,England,South Africa,South Africa,7 wickets,Manchester,3-Jul-03
2033,South Africa,Zimbabwe,South Africa,9 wickets,Cardiff,5-Jul-03
2034,England,Zimbabwe,,6 wickets,Bristol,6-Jul-03
2035,England,South Africa,England,4 wickets,Birmingham,8-Jul-03
2036,South Africa,Zimbabwe,South Africa,7 wickets,Southampton,10-Jul-03
2037,England,South Africa,England,7 wickets,Lord's,12-Jul-03
2038,Australia,Bangladesh,Australia,8 wickets,Cairns,2-Aug-03
2039,Australia,Bangladesh,Australia,9 wickets,Cairns,
2040,Australia,Bangladesh,Australia,112 runs,Darwin,6-Aug-03
2041,Pakistan,Bangladesh,Pakistan,137 runs,Multan,9-Sep-03
2042,Pakistan,Bangladesh,Pakistan,74 runs,Faisalabad,12-Sep-03
2043,Pakistan,Bangladesh,Pakistan,42 runs,Lahore,15-Sep-03
2044,Pakistan,Bangladesh,Pakistan,5 wickets,Rawalpindi,18-Sep-03
2045,Pakistan,Bangladesh,Pakistan,58 runs,Karachi,21-Sep-03
2046,Pakistan,South Africa,Pakistan,8 runs,Lahore,3-Oct-03
2047,Pakistan,South Africa,Pakistan,42 runs,Lahore,5-Oct-03
2048,Pakistan,South Africa,,13 runs,Faisalabad,
2049,Pakistan,South Africa,South Africa,6 wickets,Rawalpindi,10-Oct-03
2050,Pakistan,South Africa,South Africa,7 wickets,Rawalpindi,12-Oct-03
2051,India,New Zealand,no result,,Chennai,23-Oct-03
2052,India,Australia,India,37 runs,Gwalior,26-Oct-03
2053,Australia,New Zealand,Australia,8 wickets,Faridabad,29-Oct-03
2054,India,Australia,Australia,77 runs,Mumbai,1-Nov-03
2055,Australia,New Zealand,,2 wickets,Pune,3-Nov-03
2056,India,New Zealand,New Zealand,4 wickets,Cuttack,6-Nov-03
2057,Bangladesh,England,England,7 wickets,Chittagong,7-Nov-03
2058,Australia,New Zealand,Australia,44 runs,Guwahati,9-Nov-03
2059,Bangladesh,England,England,7 wickets,Dhaka,10-Nov-03
2060,Bangladesh,England,England,7 wickets,Dhaka,12-Nov-03
2061,India,Australia,Australia,61 runs,Bengaluru,
2062,India,New Zealand,India,145 runs,Hyderabad (Deccan),15-Nov-03
2063,Sri Lanka,England,Sri Lanka,10 wickets,Dambulla,18-Nov-03
2064,India,Australia,Australia,37 runs,Kolkata,18-Nov-03
2065,Zimbabwe,West Indies,West Indies,51 runs,Bulawayo,22-Nov-03
2066,Zimbabwe,West Indies,Zimbabwe,6 wickets,Bulawayo,23-Nov-03
2067,Zimbabwe,West Indies,Zimbabwe,21 runs,Harare,26-Nov-03
2068,Zimbabwe,West Indies,West Indies,72 runs,Harare,29-Nov-03
2069,Pakistan,New Zealand,Pakistan,3 wickets,Lahore,29-Nov-03
2070,Zimbabwe,West Indies,,8 wickets,Harare,30-Nov-03
2071,Pakistan,New Zealand,Pakistan,124 runs,Lahore,1-Dec-03
2072,Pakistan,New Zealand,Pakistan,51 runs,Faisalabad,3-Dec-03
2073,Pakistan,New Zealand,Pakistan,7 wickets,Rawalpindi,5-Dec-03
2074,Pakistan,New Zealand,Pakistan,49 runs,Rawalpindi,7-Dec-03
2075,New Zealand,Pakistan,New Zealand,4 wickets,Auckland,
2076,New Zealand,Pakistan,Pakistan,6 wickets,Queenstown,7-Jan-04
2077,Australia,India,Australia,18 runs,Melbourne,9-Jan-04
2078,New Zealand,Pakistan,New Zealand,7 wickets,Christchurch,10-Jan-04
2079,Australia,Zimbabwe,Australia,99 runs,Sydney,11-Jan-04
2080,New Zealand,Pakistan,New Zealand,8 wickets,Napier,14-Jan-04
2081,India,Zimbabwe,India,7 wickets,Hobart,14-Jan-04
2082,Australia,Zimbabwe,Australia,148 runs,Hobart,16-Jan-04
2083,New Zealand,Pakistan,,4 runs,Wellington,17-Jan-04
2084,Australia,India,India,19 runs,Brisbane,18-Jan-04
2085,India,Zimbabwe,India,24 runs,Brisbane,20-Jan-04
2086,Australia,India,Australia,2 wickets,Sydney,22-Jan-04
2087,India,Zimbabwe,India,3 runs,Adelaide,24-Jan-04
2088,South Africa,West Indies,South Africa,209 runs,Cape Town,25-Jan-04
2089,Australia,Zimbabwe,Australia,13 runs,Adelaide,26-Jan-04
2090,South Africa,West Indies,South Africa,16 runs,Port Elizabeth,
2091,Australia,Zimbabwe,no result,,Melbourne,29-Jan-04
2092,South Africa,West Indies,no result,,Durban,30-Jan-04
2093,Australia,India,Australia,5 wickets,Perth,1-Feb-04
2094,South Africa,West Indies,West Indies,7 wickets,Centurion,1-Feb-04
2095,India,Zimbabwe,India,4 wickets,Perth,3-Feb-04
2096,South Africa,West Indies,South Africa,4 wickets,Johannesburg,4-Feb-04
2097,Australia,India,Australia,7 wickets,Melbourne,6-Feb-04
2098,Australia,India,Australia,208 runs,Sydney,8-Feb-04
2099,New Zealand,South Africa,,5 wickets,Auckland,13-Feb-04
2100,New Zealand,South Africa,New Zealand,5 wickets,Christchurch,17-Feb-04
2101,New Zealand,South Africa,New Zealand,5 runs,Wellington,20-Feb-04
2102,Sri Lanka,Australia,Australia,84 runs,Dambulla,20-Feb-04
2103,Sri Lanka,Australia,Sri Lanka,1 run,Dambulla,22-Feb-04
2104,New Zealand,South Africa,New Zealand,6 wickets,Dunedin,25-Feb-04
2105,Sri Lanka,Australia,Australia,5 wickets,Colombo (RPS),
2106,Sri Lanka,Australia,Australia,40 runs,Colombo (RPS),27-Feb-04
2107,New Zealand,South Africa,New Zealand,2 runs,Auckland,29-Feb-04
2108,Sri Lanka,Australia,Sri Lanka,3 wickets,Colombo (SSC),29-Feb-04
2109,New Zealand,South Africa,New Zealand,5 wickets,Napier,2-Mar-04
2110,Zimbabwe,Bangladesh,Bangladesh,8 runs,Harare,10-Mar-04
2111,Zimbabwe,Bangladesh,Zimbabwe,14 runs,Harare,12-Mar-04
2112,Pakistan,India,India,5 runs,Karachi,13-Mar-04
2113,Zimbabwe,Bangladesh,Zimbabwe,3 wickets,Harare,14-Mar-04
2114,Pakistan,India,Pakistan,12 runs,Rawalpindi,16-Mar-04
2115,Pakistan,India,Pakistan,4 wickets,Peshawar,19-Mar-04
2116,Pakistan,India,India,5 wickets,Lahore,21-Mar-04
2117,Pakistan,India,India,40 runs,Lahore,24-Mar-04
2118,West Indies,England,England,2 wickets,Georgetown,18-Apr-04
2119,Zimbabwe,Sri Lanka,,12 runs,Bulawayo,20-Apr-04
2120,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo,22-Apr-04
2121,West Indies,England,no result,,Port of Spain,24-Apr-04
2122,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Harare,25-Apr-04
2123,Zimbabwe,Sri Lanka,Sri Lanka,72 runs,Harare,27-Apr-04
2124,Zimbabwe,Sri Lanka,Sri Lanka,25 runs,Harare,29-Apr-04
2125,West Indies,England,West Indies,5 wickets,Gros Islet,1-May-04
2126,West Indies,England,West Indies,4 wickets,Gros Islet,2-May-04
2127,West Indies,England,England,5 wickets,Bridgetown,5-May-04
2128,West Indies,Bangladesh,West Indies,1 wicket,Kingstown,15-May-04
2129,West Indies,Bangladesh,West Indies,23 runs,Kingstown,16-May-04
2130,West Indies,Bangladesh,West Indies,7 wickets,St George's,19-May-04
2131,Zimbabwe,Australia,Australia,7 wickets,Harare,25-May-04
2132,Zimbabwe,Australia,Australia,139 runs,Harare,
2133,Zimbabwe,Australia,Australia,8 wickets,Harare,29-May-04
2134,New Zealand,West Indies,no result,,Birmingham,26-Jun-04
2135,England,West Indies,West Indies,7 wickets,Nottingham,27-Jun-04
2136,England,New Zealand,New Zealand,7 wickets,Chester-le-Street,29-Jun-04
2137,England,West Indies,England,7 wickets,Leeds,1-Jul-04
2138,New Zealand,West Indies,New Zealand,5 wickets,Cardiff,3-Jul-04
2139,England,New Zealand,New Zealand,6 wickets,Bristol,4-Jul-04
2140,England,West Indies,West Indies,7 wickets,Lord's,6-Jul-04
2141,New Zealand,West Indies,no result,,Southampton,8-Jul-04
2142,New Zealand,West Indies,New Zealand,107 runs,Lord's,10-Jul-04
2143,Bangladesh,Hong Kong,Bangladesh,116 runs,Colombo (SSC),
2144,India,U.A.E.,India,116 runs,Dambulla,16-Jul-04
2145,Bangladesh,Pakistan,Pakistan,76 runs,Colombo (SSC),17-Jul-04
2146,Sri Lanka,U.A.E.,Sri Lanka,116 runs,Dambulla,17-Jul-04
2147,Hong Kong,Pakistan,Pakistan,173 runs,Colombo (SSC),18-Jul-04
2148,Sri Lanka,India,Sri Lanka,12 runs,Dambulla,18-Jul-04
2149,Bangladesh,India,India,8 wickets,Colombo (SSC),21-Jul-04
2150,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Colombo (RPS),21-Jul-04
2151,Sri Lanka,Bangladesh,Sri Lanka,10 wickets,Colombo (RPS),23-Jul-04
2152,India,Pakistan,Pakistan,59 runs,Colombo (RPS),25-Jul-04
2153,Sri Lanka,India,India,4 runs,Colombo (RPS),27-Jul-04
2154,Bangladesh,Pakistan,Pakistan,6 wickets,Colombo (RPS),29-Jul-04
2155,Sri Lanka,India,Sri Lanka,25 runs,Colombo (RPS),1-Aug-04
2156,Sri Lanka,South Africa,Sri Lanka,3 wickets,Colombo (RPS),20-Aug-04
2157,India,Pakistan,Pakistan,66 runs,Amstelveen,21-Aug-04
2158,Sri Lanka,South Africa,Sri Lanka,37 runs,Colombo (RPS),22-Aug-04
2159,Australia,India,no result,,Amstelveen,23-Aug-04
2160,Sri Lanka,South Africa,Sri Lanka,4 wickets,Dambulla,25-Aug-04
2161,Sri Lanka,South Africa,,7 wickets,Dambulla,28-Aug-04
2162,Australia,Pakistan,Australia,17 runs,Amstelveen,28-Aug-04
2163,Sri Lanka,South Africa,Sri Lanka,49 runs,Colombo (SSC),31-Aug-04
2164,England,India,England,7 wickets,Nottingham,1-Sep-04
2165,England,India,England,70 runs,The Oval,
2166,Australia,Pakistan,Australia,10 runs,Lord's,4-Sep-04
2167,England,India,India,23 runs,Lord's,5-Sep-04
2168,England,Zimbabwe,England,152 runs,Birmingham,"Sep 10-11, 2004"
2169,New Zealand,U.S.A.,New Zealand,210 runs,The Oval,10-Sep-04
2170,India,Kenya,India,98 runs,Southampton,11-Sep-04
2171,Bangladesh,South Africa,South Africa,9 wickets,Birmingham,12-Sep-04
2172,Australia,U.S.A.,Australia,9 wickets,Southampton,13-Sep-04
2173,Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,The Oval,14-Sep-04
2174,Kenya,Pakistan,Pakistan,7 wickets,Birmingham,"Sep 14-15, 2004"
2175,Bangladesh,West Indies,West Indies,138 runs,Southampton,15-Sep-04
2176,Australia,New Zealand,Australia,7 wickets,The Oval,16-Sep-04
2177,England,Sri Lanka,England,49 runs,Southampton,"Sep 17-18, 2004"
2178,South Africa,West Indies,West Indies,5 wickets,The Oval,"Sep 18-19, 2004"
2179,India,Pakistan,Pakistan,3 wickets,Birmingham,19-Sep-04
2180,England,Australia,,6 wickets,Birmingham,21-Sep-04
2181,Pakistan,West Indies,West Indies,7 wickets,Southampton,22-Sep-04
2182,England,West Indies,West Indies,2 wickets,The Oval,25-Sep-04
2183,Pakistan,Zimbabwe,Pakistan,144 runs,Multan,30-Sep-04
2184,Pakistan,Zimbabwe,Pakistan,3 wickets,Peshawar,3-Oct-04
2185,Pakistan,Sri Lanka,Pakistan,8 wickets,Karachi,6-Oct-04
2186,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Rawalpindi,9-Oct-04
2187,Pakistan,Sri Lanka,Pakistan,6 wickets,Lahore,14-Oct-04
2188,Pakistan,Sri Lanka,Sri Lanka,119 runs,Lahore,16-Oct-04
2189,Bangladesh,New Zealand,New Zealand,138 runs,Chittagong,2-Nov-04
2190,Bangladesh,New Zealand,New Zealand,3 wickets,,5-Nov-04
2191,Bangladesh,New Zealand,New Zealand,83 runs,Dhaka,7-Nov-04
2192,India,Pakistan,Pakistan,6 wickets,Kolkata,13-Nov-04
2193,Zimbabwe,England,England,5 wickets,Harare,28-Nov-04
2194,Zimbabwe,England,England,161 runs,Harare,1-Dec-04
2195,Zimbabwe,England,England,8 wickets,Bulawayo,4-Dec-04
2196,Australia,New Zealand,New Zealand,4 wickets,Melbourne (Docklands),5-Dec-04
2197,Zimbabwe,England,England,74 runs,Bulawayo,5-Dec-04
2198,Australia,New Zealand,Australia,17 runs,Sydney,8-Dec-04
2199,Bangladesh,India,India,11 runs,Chittagong,23-Dec-04
2200,New Zealand,Sri Lanka,New Zealand,7 wickets,Auckland,26-Dec-04
2201,Bangladesh,India,Bangladesh,15 runs,Dhaka,26-Dec-04
2202,Bangladesh,India,India,91 runs,Dhaka,27-Dec-04
2203,Asia XI,ICC World XI,,112 runs,Melbourne,10-Jan-05
2204,Australia,West Indies,Australia,116 runs,,14-Jan-05
2205,Australia,Pakistan,Australia,4 wickets,Hobart,16-Jan-05
2206,Pakistan,West Indies,Pakistan,6 wickets,Brisbane,19-Jan-05
2207,Bangladesh,Zimbabwe,Zimbabwe,22 runs,Dhaka,20-Jan-05
2208,Australia,West Indies,no result,,Brisbane,21-Jan-05
2209,Australia,Pakistan,Australia,9 wickets,Sydney,23-Jan-05
2210,Bangladesh,Zimbabwe,Zimbabwe,31 runs,Chittagong,24-Jan-05
2211,Bangladesh,Zimbabwe,Bangladesh,40 runs,Chittagong,26-Jan-05
2212,Australia,West Indies,Australia,73 runs,Adelaide,26-Jan-05
2213,Pakistan,West Indies,West Indies,58 runs,,28-Jan-05
2214,Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka,29-Jan-05
2215,Australia,Pakistan,Pakistan,3 wickets,Perth,30-Jan-05
2216,South Africa,England,England,26 runs,Johannesburg,30-Jan-05
2217,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka,31-Jan-05
2218,Pakistan,West Indies,Pakistan,30 runs,Perth,1-Feb-05
2219,South Africa,England,tied,,Bloemfontein,2-Feb-05
2220,Australia,Pakistan,Australia,18 runs,Melbourne,4-Feb-05
2221,South Africa,England,South Africa,3 wickets,Port Elizabeth,4-Feb-05
2222,Australia,Pakistan,Australia,31 runs,Sydney,6-Feb-05
2223,South Africa,England,South Africa,108 runs,,6-Feb-05
2224,South Africa,England,South Africa,7 runs,East London,9-Feb-05
2225,South Africa,England,no result,,Durban,11-Feb-05
2226,South Africa,England,South Africa,3 wickets,Centurion,13-Feb-05
2227,New Zealand,Australia,Australia,10 runs,Wellington,19-Feb-05
2228,New Zealand,Australia,Australia,106 runs,Christchurch,22-Feb-05
2229,South Africa,Zimbabwe,South Africa,165 runs,Johannesburg,25-Feb-05
2230,New Zealand,Australia,Australia,86 runs,Auckland,26-Feb-05
2231,South Africa,Zimbabwe,South Africa,131 runs,Durban,27-Feb-05
2232,New Zealand,Australia,,7 wickets,Wellington,1-Mar-05
2233,South Africa,Zimbabwe,South Africa,5 wickets,Port Elizabeth,2-Mar-05
2234,New Zealand,Australia,Australia,122 runs,Napier,5-Mar-05
2235,India,Pakistan,India,87 runs,Kochi,2-Apr-05
2236,India,Pakistan,India,58 runs,Visakhapatnam,5-Apr-05
2237,India,Pakistan,Pakistan,106 runs,Jamshedpur,9-Apr-05
2238,India,Pakistan,Pakistan,3 wickets,Ahmedabad,12-Apr-05
2239,India,Pakistan,Pakistan,5 wickets,Kanpur,15-Apr-05
2240,India,Pakistan,Pakistan,159 runs,Delhi,17-Apr-05
2241,West Indies,South Africa,South Africa,8 wickets,Kingston,7-May-05
2242,West Indies,South Africa,South Africa,8 wickets,Kingston,8-May-05
2243,West Indies,South Africa,South Africa,1 run,,11-May-05
2244,West Indies,South Africa,,6 wickets,Port of Spain,14-May-05
2245,West Indies,South Africa,South Africa,7 wickets,Port of Spain,
2246,West Indies,Pakistan,Pakistan,59 runs,Kingstown,18-May-05
2247,West Indies,Pakistan,Pakistan,40 runs,Gros Islet,21-May-05
2248,West Indies,Pakistan,Pakistan,22 runs,Gros Islet,22-May-05
2249,England,Bangladesh,England,10 wickets,The Oval,16-Jun-05
2250,Australia,Bangladesh,Bangladesh,5 wickets,Cardiff,18-Jun-05
2251,England,Australia,England,3 wickets,Bristol,19-Jun-05
2252,England,Bangladesh,England,168 runs,Nottingham,21-Jun-05
2253,England,Australia,Australia,57 runs,Chester-le-Street,23-Jun-05
2254,Australia,Bangladesh,Australia,10 wickets,Manchester,25-Jun-05
2255,England,Bangladesh,England,5 wickets,Leeds,26-Jun-05
2256,England,Australia,no result,,Birmingham,28-Jun-05
2257,Australia,Bangladesh,Australia,6 wickets,Canterbury,30-Jun-05
2258,England,Australia,tied,,Lord's,2-Jul-05
2259,England,Australia,England,9 wickets,Leeds,7-Jul-05
2260,England,Australia,Australia,7 wickets,Lord's,10-Jul-05
2261,England,Australia,Australia,8 wickets,The Oval,12-Jul-05
2262,Sri Lanka,India,Sri Lanka,3 wickets,Dambulla,30-Jul-05
2263,India,West Indies,India,6 wickets,Dambulla,31-Jul-05
2264,Sri Lanka,West Indies,Sri Lanka,50 runs,Dambulla,2-Aug-05
2265,Sri Lanka,India,Sri Lanka,4 wickets,Dambulla,3-Aug-05
